provider_match_id,source_market,market_id,competition,competition_ch,kickoff_time_utc,home_team_name,home_team_name_ch,away_team_name,away_team_name_ch,handicap_open_line,handicap_close_line,handicap_line_movement,missing_handicap_line_flag,odds_home_open,odds_away_open,odds_home_close,odds_away_close,implied_prob_home_open,implied_prob_away_open,implied_prob_home_close,implied_prob_away_close,missing_odds_flag,target_handicap_side,home_form_points_last5,home_form_points_last10,away_form_points_last5,away_form_points_last10,home_recent_home_form_last5,away_recent_away_form_last5,home_goals_scored_last5,home_goals_conceded_last5,home_goal_diff_last5,away_goals_scored_last5,away_goals_conceded_last5,away_goal_diff_last5,rest_days_home,rest_days_away,rest_days_diff,recent5_rest_days_diff,recent5_hdc_cover_rate_home,recent10_hdc_cover_rate_home,recent5_hdc_cover_rate_away,recent10_hdc_cover_rate_away,recent5_goal_diff_mean_home,recent10_goal_diff_mean_home,recent5_goal_diff_mean_away,recent10_goal_diff_mean_away,recent5_xg_diff_mean_home,recent5_xg_diff_mean_away,recent10_xg_diff_mean_home,recent10_xg_diff_mean_away,recent_hdc_cover_ewm_alpha_0p3_home,recent_hdc_cover_ewm_alpha_0p3_away,recent5_hdc_cover_advantage,recent10_hdc_cover_advantage,h2h_last5_hdc_cover_rate,h2h_last10_hdc_cover_rate,h2h_home_last5_hdc_cover_rate,h2h_last5_hdc_cover_mean,h2h_last10_hdc_cover_mean,h2h_last5_goal_diff_mean,h2h_last5_xg_diff_mean,h2h_sample_size_last5,h2h_sample_size_last10,elo_home_pre,elo_away_pre,elo_diff_pre,history_home_matches_count,history_away_matches_count,missing_home_history_flag,missing_away_history_flag,missing_home_ft_goals_flag,missing_away_ft_goals_flag,hk_line,consensus_line,hk_line_minus_consensus_line,hk_implied_prob,hk_implied_prob_side,consensus_implied_prob,consensus_implied_prob_side,hk_minus_consensus_prob,hk_off_market_flag,hk_off_market_direction,hk_off_market_agree_with_model_flag,home_cover_probability,away_cover_probability,predicted_side,model_probability,confidence_score,model_name,model_approach,market_feature_variant,original_predicted_side,effective_predicted_side,flip_hkjc_side_enabled,implied_probability,edge,expected_roi
50064779_HDC_1,HKJC_LIKE,ah_ft,FA Cup,英格蘭足總盃,2026-04-04T19:00:00+00:00,Southampton,修咸頓,Arsenal,阿仙奴,1.25,1.25,0.0,0,1.96,1.86,1.96,1.86,0.486910994764398,0.5130890052356021,0.486910994764398,0.5130890052356021,0,home,0.0,0.0,13.0,17.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,8.0417,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1495.038058668564,4.961941331436037,0.0,37.0,1,0,1,1,1.25,,,0.486910994764398,0.486910994764398,,,,0,0.0,0,0.4210786553813926,0.5789213446186074,away,0.5789213446186074,0.1578426892372149,logistic_regression,direct_cover,market,away,away,False,0.5130890052356021,0.06583233938300537,0.07679370099060989
50065094_HDC_1,HKJC_LIKE,ah_ft,Dutch Division 1,荷蘭甲組聯賽,2026-04-04T19:00:00+00:00,Ajax,阿積士,Twente,川迪,-0.25,-0.25,0.0,0,1.98,1.82,1.98,1.82,0.4789473684210527,0.5210526315789473,0.4789473684210527,0.5210526315789473,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-0.25,,,0.4789473684210527,0.4789473684210527,,,,0,0.0,0,0.43363968346431175,0.5663603165356883,away,0.5663603165356883,0.1327206330713766,logistic_regression,direct_cover,market,away,away,False,0.5210526315789473,0.04530768495674098,0.030775776094952745
50065111_HDC_1,HKJC_LIKE,ah_ft,French Division 1,法國甲組聯賽,2026-04-04T19:05:00+00:00,Lille,里爾,Lens,朗斯,0.0,0.0,0.0,0,2.08,1.76,2.08,1.76,0.4583333333333333,0.5416666666666667,0.4583333333333333,0.5416666666666667,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,0.0,,,0.4583333333333333,0.4583333333333333,,,,0,0.0,0,0.4259980914650698,0.5740019085349302,away,0.5740019085349302,0.14800381706986032,logistic_regression,direct_cover,market,away,away,False,0.5416666666666667,0.03233524186826342,0.010243359021477105
50065774_HDC_1,HKJC_LIKE,ah_ft,Portuguese Premier,葡萄牙超級聯賽,2026-04-04T19:30:00+00:00,Porto,波圖,Famalicao,法馬利卡奧,-1.25,-1.25,0.0,0,2.02,1.79,2.02,1.79,0.46981627296587924,0.5301837270341206,0.46981627296587924,0.5301837270341206,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-1.25,,,0.46981627296587924,0.46981627296587924,,,,0,0.0,0,0.43608789207741444,0.5639121079225855,away,0.5639121079225855,0.127824215845171,logistic_regression,direct_cover,market,away,away,False,0.5301837270341206,0.03372838088846486,0.009402673181428067
50066282_HDC_1,HKJC_LIKE,ah_ft,USL Championship,美國冠軍聯賽,2026-04-04T20:00:00+00:00,Louisville City,路易斯維爾城,Charleston Battery,查勒斯頓炮台,-0.75,-0.75,0.0,0,1.96,1.81,1.96,1.81,0.48010610079575594,0.519893899204244,0.48010610079575594,0.519893899204244,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-0.75,,,0.48010610079575594,0.48010610079575594,,,,0,0.0,0,0.4397125195324405,0.5602874804675595,away,0.5602874804675595,0.12057496093511899,logistic_regression,direct_cover,market,away,away,False,0.519893899204244,0.04039358126331549,0.014120339646282731
50063021_HDC_1,HKJC_LIKE,ah_ft,US Major League,美國職業聯賽,2026-04-04T20:30:00+00:00,New England Revolution,新英倫革命,CF Montreal,CF蒙特利爾,-0.25,-0.25,0.0,0,1.67,2.18,1.67,2.18,0.5662337662337663,0.43376623376623374,0.5662337662337663,0.43376623376623374,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-0.25,,,0.5662337662337663,0.5662337662337663,,,,0,0.0,0,0.43379597605907355,0.5662040239409265,away,0.5662040239409265,0.132408047881853,logistic_regression,direct_cover,market,away,away,False,0.43376623376623374,0.13243779017469276,0.23432477219121983
50066040_HDC_1,HKJC_LIKE,ah_ft,USL Championship,美國冠軍聯賽,2026-04-04T21:00:00+00:00,Loudoun Utd,勞頓聯,Birmingham Legion,伯明翰軍團,-0.25,-0.25,0.0,0,2.06,1.73,2.06,1.73,0.4564643799472295,0.5435356200527705,0.4564643799472295,0.5435356200527705,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-0.25,,,0.4564643799472295,0.4564643799472295,,,,0,0.0,0,0.43332167549262673,0.5666783245073732,away,0.5666783245073732,0.13335664901474642,logistic_regression,direct_cover,market,away,away,False,0.5435356200527705,0.02314270445460276,-0.019646498602244378
50065420_HDC_1,HKJC_LIKE,ah_ft,Brazilian Division 1,巴西甲組聯賽,2026-04-04T21:30:00+00:00,Sao Paulo,聖保羅,Cruzeiro,高士路,-0.25,-0.25,0.0,0,1.79,2.02,1.79,2.02,0.5301837270341206,0.46981627296587924,0.5301837270341206,0.46981627296587924,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-0.25,,,0.5301837270341206,0.5301837270341206,,,,0,0.0,0,0.4360633120628638,0.5639366879371361,away,0.5639366879371361,0.12787337587427228,logistic_regression,direct_cover,market,away,away,False,0.46981627296587924,0.0941204149712569,0.13915210963301505
50059934_HDC_1,HKJC_LIKE,ah_ft,Mexican Premier,墨西哥超級聯賽,2026-04-04T23:00:00+00:00,Queretaro,克雷塔羅,Toluca,托盧卡,1.0,1.0,0.0,0,1.87,1.93,1.87,1.93,0.5078947368421052,0.4921052631578948,0.5078947368421052,0.4921052631578948,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,1.0,,,0.5078947368421052,0.5078947368421052,,,,0,0.0,0,0.43024785653789976,0.5697521434621002,away,0.5697521434621002,0.13950428692420047,logistic_regression,direct_cover,market,away,away,False,0.4921052631578948,0.07764688030420541,0.09962163688185344
50064747_HDC_1,HKJC_LIKE,ah_ft,Mexican Premier,墨西哥超級聯賽,2026-04-04T23:00:00+00:00,Monterrey,蒙特雷,Atletico San Luis,聖路易斯體育會,-0.75,-0.75,0.0,0,1.71,2.12,1.71,2.12,0.5535248041775457,0.4464751958224543,0.5535248041775457,0.4464751958224543,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-0.75,,,0.5535248041775457,0.5535248041775457,,,,0,0.0,0,0.4374956520505551,0.5625043479494449,away,0.5625043479494449,0.12500869589888985,logistic_regression,direct_cover,market,away,away,False,0.4464751958224543,0.11602915212699061,0.19250921765282336
50063392_HDC_2,HKJC_LIKE,ah_ft,US Major League,美國職業聯賽,2026-04-04T23:30:00+00:00,Inter Miami CF,國際邁亞密,Austin FC,FC奧斯汀,-1.25,-1.25,0.0,0,1.81,1.99,1.81,1.99,0.5236842105263159,0.47631578947368425,0.5236842105263159,0.47631578947368425,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-1.25,,,0.5236842105263159,0.5236842105263159,,,,0,0.0,0,0.4412243481801548,0.5587756518198452,away,0.5587756518198452,0.11755130363969046,logistic_regression,direct_cover,market,away,away,False,0.47631578947368425,0.08245986234616098,0.11196354712149204
50063392_HDC_1,HKJC_LIKE,ah_ft,US Major League,美國職業聯賽,2026-04-04T23:30:00+00:00,Inter Miami CF,國際邁亞密,Austin FC,FC奧斯汀,-1.75,-1.75,0.0,0,2.09,1.7,2.09,1.7,0.4485488126649077,0.5514511873350924,0.4485488126649077,0.5514511873350924,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-1.75,,,0.4485488126649077,0.4485488126649077,,,,0,0.0,0,0.439305077586231,0.560694922413769,away,0.560694922413769,0.1213898448275379,logistic_regression,direct_cover,market,away,away,False,0.5514511873350924,0.009243735078676596,-0.0468186318965928
50066288_HDC_1,HKJC_LIKE,ah_ft,US Major League,美國職業聯賽,2026-04-04T23:30:00+00:00,New York City,紐約城,St. Louis City SC,聖路易城SC,-0.75,-0.75,0.0,0,1.93,1.87,1.93,1.87,0.4921052631578948,0.5078947368421052,0.4921052631578948,0.5078947368421052,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-0.75,,,0.4921052631578948,0.4921052631578948,,,,0,0.0,0,0.43676372931694135,0.5632362706830587,away,0.5632362706830587,0.1264725413661174,logistic_regression,direct_cover,market,away,away,False,0.5078947368421052,0.05534153384095353,0.05325182617731983
50062867_HDC_1,HKJC_LIKE,ah_ft,US Major League,美國職業聯賽,2026-04-04T23:30:00+00:00,New York Red Bulls,紐約紅牛,FC Cincinnati,FC辛辛那提,-0.25,-0.25,0.0,0,1.81,1.99,1.81,1.99,0.5236842105263159,0.47631578947368425,0.5236842105263159,0.47631578947368425,0,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,1,-0.25,,,0.5236842105263159,0.5236842105263159,,,,0,0.0,0,0.43683936971875575,0.5631606302812442,away,0.5631606302812442,0.12632126056248838,logistic_regression,direct_cover,market,away,away,False,0.47631578947368425,0.08684484080755994,0.12068965425967593
